mc,L,F,q,s_max_den,n_density,iteration
0,30,2,1,0.005555555555555556,0.435632183908046,1
0,30,2,1,0.005555555555555556,0.43505747126436783,2
0,30,2,1,0.005555555555555556,0.43505747126436783,3
0,30,2,1,0.005555555555555556,0.43505747126436783,4
0,30,2,1,0.005555555555555556,0.43505747126436783,5
0,30,2,1,0.005555555555555556,0.43505747126436783,6
0,30,2,1,0.005555555555555556,0.4339080459770115,8
0,30,2,1,0.005555555555555556,0.4339080459770115,10
0,30,2,1,0.005555555555555556,0.4339080459770115,12
0,30,2,1,0.005555555555555556,0.4339080459770115,15
0,30,2,1,0.005555555555555556,0.43448275862068964,18
0,30,2,1,0.005555555555555556,0.43448275862068964,22
0,30,2,1,0.005555555555555556,0.43448275862068964,27
0,30,2,1,0.005555555555555556,0.43333333333333335,32
0,30,2,1,0.005555555555555556,0.432183908045977,39
0,30,2,1,0.005555555555555556,0.432183908045977,48
0,30,2,1,0.005555555555555556,0.4304597701149425,58
0,30,2,1,0.005555555555555556,0.42931034482758623,71
0,30,2,1,0.005555555555555556,0.42758620689655175,86
0,30,2,1,0.005555555555555556,0.42758620689655175,104
0,30,2,1,0.005555555555555556,0.42701149425287355,127
0,30,2,1,0.005555555555555556,0.4247126436781609,154
0,30,2,1,0.005555555555555556,0.4241379310344828,187
0,30,2,1,0.005555555555555556,0.4247126436781609,227
0,30,2,1,0.005555555555555556,0.42298850574712643,276
0,30,2,1,0.006666666666666667,0.4160919540229885,335
0,30,2,1,0.006666666666666667,0.40632183908045977,407
0,30,2,1,0.006666666666666667,0.4,495
0,30,2,1,0.006666666666666667,0.39597701149425285,601
0,30,2,1,0.013333333333333334,0.385632183908046,729
0,30,2,1,0.013333333333333334,0.3718390804597701,885
0,30,2,1,0.013333333333333334,0.36551724137931035,1075
0,30,2,1,0.014444444444444444,0.3528735632183908,1305
0,30,2,1,0.012222222222222223,0.32471264367816094,1584
0,30,2,1,0.012222222222222223,0.3195402298850575,1924
0,30,2,1,0.016666666666666666,0.3017241379310345,2335
0,30,2,1,0.016666666666666666,0.2982758620689655,2835
0,30,2,1,0.01888888888888889,0.28620689655172415,3442
0,30,2,1,0.017777777777777778,0.2672413793103448,4178
0,30,2,1,0.016666666666666666,0.24885057471264369,5072
0,30,2,1,0.02,0.23045977011494254,6158
0,30,2,1,0.024444444444444446,0.21666666666666667,7476
0,30,2,1,0.03666666666666667,0.20862068965517241,9076
0,30,2,1,0.035555555555555556,0.20229885057471264,11018
0,30,2,1,0.05333333333333334,0.1764367816091954,13375
0,30,2,1,0.05444444444444444,0.17011494252873563,16237
0,30,2,1,0.06333333333333334,0.16436781609195403,19712
0,30,2,1,0.06777777777777778,0.1454022988505747,23930
0,30,2,1,0.07666666666666666,0.13218390804597702,29050
0,30,2,1,0.07333333333333333,0.12758620689655173,35266
0,30,2,1,0.09111111111111111,0.09827586206896552,42813
0,30,2,1,0.08333333333333333,0.09827586206896552,51974
0,30,2,1,0.09444444444444444,0.1132183908045977,63095
0,30,2,1,0.09666666666666666,0.12931034482758622,76596
0,30,2,1,0.1288888888888889,0.12701149425287356,92986
0,30,2,1,0.15777777777777777,0.15344827586206897,112883
0,30,2,1,0.10222222222222223,0.13333333333333333,137038
0,30,2,1,0.12222222222222222,0.167816091954023,166361
0,30,2,1,0.15444444444444444,0.13735632183908045,201958
0,30,2,1,0.21777777777777776,0.13735632183908045,245173
0,30,2,1,0.1411111111111111,0.1310344827586207,297635
0,30,2,1,0.13444444444444445,0.14942528735632185,361322
0,30,2,1,0.2544444444444444,0.16264367816091954,438637
0,30,2,1,0.11666666666666667,0.12701149425287356,532495
0,30,2,1,0.14,0.12643678160919541,646437
0,30,2,1,0.18222222222222223,0.12413793103448276,784759
0,30,2,1,0.12666666666666668,0.1425287356321839,952680
0,30,2,1,0.20777777777777778,0.1339080459770115,1156532
0,30,2,1,0.22444444444444445,0.14655172413793102,1404004
0,30,2,1,0.18444444444444444,0.11264367816091954,1704429
0,30,2,1,0.2311111111111111,0.09022988505747126,2069138
0,30,2,1,0.20222222222222222,0.07701149425287357,2511886
0,30,2,1,0.17888888888888888,0.09942528735632183,3049372
0,30,2,1,0.22111111111111112,0.1471264367816092,3701869
0,30,2,1,0.14333333333333334,0.14022988505747128,4493984
0,30,2,1,0.2588888888888889,0.0867816091954023,5455594
0,30,2,1,0.3388888888888889,0.09310344827586207,6622967
0,30,2,1,0.18444444444444444,0.12471264367816091,8040131
0,30,2,1,0.33666666666666667,0.1028735632183908,9760536
0,30,2,1,0.1988888888888889,0.12126436781609196,11849068
0,30,2,1,0.21222222222222223,0.1396551724137931,14384498
0,30,2,1,0.19666666666666666,0.14022988505747128,17462453
0,30,2,1,0.1922222222222222,0.12931034482758622,21199020
0,30,2,1,0.13444444444444445,0.12816091954022987,25735127
0,30,2,1,0.19666666666666666,0.12528735632183907,31241857
0,30,2,1,0.31222222222222223,0.12298850574712644,37926901
0,30,2,1,0.18333333333333332,0.12758620689655173,46042393
0,30,2,1,0.1688888888888889,0.10804597701149425,55894415
0,30,2,1,0.2644444444444444,0.11896551724137931,67854545
0,30,2,1,0.2411111111111111,0.09080459770114943,82373870
0,30,2,10,0.0033333333333333335,0.1810344827586207,1
0,30,2,10,0.0033333333333333335,0.1810344827586207,2
0,30,2,10,0.0033333333333333335,0.1810344827586207,3
0,30,2,10,0.0033333333333333335,0.1810344827586207,4
0,30,2,10,0.0033333333333333335,0.1810344827586207,5
0,30,2,10,0.0033333333333333335,0.1810344827586207,6
