"nodeCode","nodeID","name","longitude","latitude"
"ZWE1",1,"Bulawayo",28.5481146942954,-20.1405917945203
"ZWE2",2,"Harare",31.0650446719662,-17.8593283576267
"ZWE3",3,"Manicaland",32.3975135735843,-19.0611623082144
"ZWE4",4,"Mashonaland Central",31.1892201097779,-16.7015153834896
"ZWE5",5,"Mashonaland East",31.6941549311944,-17.9851849623133
"ZWE6",6,"Mashonaland West",29.7078025175436,-17.1807551800618
"ZWE7",7,"Masvingo",31.2424668591919,-20.7834227333274
"ZWE8",8,"Matabeleland North",27.4016480878046,-18.826404675941
"ZWE9",9,"Matabeleland South",28.9890284334301,-21.0084557384587
"ZWE10",10,"Midlands",29.4658228002505,-18.9801765340455
