"nodeCode","nodeID","name","longitude","latitude"
"ZMB1",1,"Central",28.5992243053903,-14.1789870734704
"ZMB2",2,"Copperbelt",27.8468373525665,-13.1152154737697
"ZMB3",3,"Eastern",31.882836392902,-13.6003664611476
"ZMB4",4,"Luapula",29.2115674096149,-10.6963565170169
"ZMB5",5,"Lusaka",29.2115448343727,-15.3583710860632
"ZMB6",6,"Muchinga",31.9804289423107,-11.3574160644264
"ZMB7",7,"North-Western",25.0575152856213,-13.0339645399373
"ZMB8",8,"Northern",30.6694029115947,-9.7299166086242
"ZMB9",9,"Southern",26.6584954056224,-16.5836977511769
"ZMB10",10,"Western",23.6720964864525,-15.643879933419
