mc,F,q,s_max_den,n_density,iteration
0,2,1,0.005,0.4148073022312373,1
0,2,1,0.005,0.41683569979716023,2
0,2,1,0.007,0.4148073022312373,3
0,2,1,0.007,0.4148073022312373,4
0,2,1,0.007,0.4148073022312373,5
0,2,1,0.007,0.4148073022312373,6
0,2,1,0.008,0.4148073022312373,7
0,2,1,0.008,0.4148073022312373,9
0,2,1,0.008,0.4148073022312373,11
0,2,1,0.008,0.4148073022312373,13
0,2,1,0.008,0.4148073022312373,16
0,2,1,0.008,0.4148073022312373,19
0,2,1,0.008,0.4127789046653144,23
0,2,1,0.008,0.4117647058823529,28
0,2,1,0.008,0.4107505070993915,34
0,2,1,0.008,0.4107505070993915,41
0,2,1,0.008,0.4107505070993915,50
0,2,1,0.008,0.40973630831643004,60
0,2,1,0.008,0.40973630831643004,73
0,2,1,0.008,0.4066937119675456,88
0,2,1,0.008,0.40466531440162273,106
0,2,1,0.008,0.3924949290060852,127
0,2,1,0.008,0.38843813387423937,154
0,2,1,0.008,0.38336713995943206,185
0,2,1,0.008,0.37829614604462475,223
0,2,1,0.008,0.3742393509127789,269
0,2,1,0.01,0.36004056795131845,325
0,2,1,0.01,0.34989858012170383,392
0,2,1,0.01,0.33975659229208927,472
0,2,1,0.014,0.3275862068965517,569
0,2,1,0.014,0.31237322515212984,686
0,2,1,0.014,0.3012170385395537,826
0,2,1,0.014,0.28904665314401623,996
0,2,1,0.014,0.2718052738336714,1201
0,2,1,0.013,0.2647058823529412,1447
0,2,1,0.015,0.25050709939148075,1744
0,2,1,0.014,0.24543610547667344,2102
0,2,1,0.016,0.22718052738336714,2533
0,2,1,0.016,0.21703853955375255,3053
0,2,1,0.015,0.19776876267748478,3679
0,2,1,0.016,0.1845841784989858,4434
0,2,1,0.012,0.1845841784989858,5344
0,2,1,0.014,0.18864097363083165,6441
0,2,1,0.014,0.19574036511156187,7762
0,2,1,0.01,0.18356997971602435,9355
0,2,1,0.02,0.1845841784989858,11274
0,2,1,0.016,0.17647058823529413,13587
0,2,1,0.016,0.17647058823529413,16374
0,2,1,0.014,0.18356997971602435,19733
0,2,1,0.014,0.17647058823529413,23782
0,2,1,0.017,0.17647058823529413,28661
0,2,1,0.02,0.18356997971602435,34541
0,2,1,0.012,0.1876267748478702,41627
0,2,1,0.013,0.1845841784989858,50167
0,2,1,0.014,0.1795131845841785,60459
0,2,1,0.022,0.18052738336713997,72863
0,2,1,0.016,0.1876267748478702,87811
0,2,1,0.013,0.19066937119675456,105825
0,2,1,0.016,0.1795131845841785,127535
0,2,1,0.013,0.18864097363083165,153700
0,2,1,0.019,0.18052738336713997,185232
0,2,1,0.013,0.19776876267748478,223232
0,2,1,0.013,0.1876267748478702,269029
0,2,1,0.01,0.17849898580121704,324221
0,2,1,0.014,0.18559837728194725,390736
0,2,1,0.014,0.18864097363083165,470896
0,2,1,0.011,0.17748478701825557,567501
0,2,1,0.017,0.17849898580121704,683925
0,2,1,0.015,0.18052738336713997,824234
0,2,1,0.016,0.1896551724137931,993327
0,2,1,0.014,0.17849898580121704,1197110
0,2,1,0.024,0.18661257606490872,1442699
0,2,1,0.012,0.1744421906693712,1738672
0,2,1,0.016,0.18864097363083165,2095364
0,2,1,0.019,0.17545638945233266,2525232
0,2,1,0.017,0.18255578093306288,3043288
0,2,1,0.016,0.1724137931034483,3667625
0,2,1,0.012,0.1876267748478702,4420045
0,2,1,0.012,0.18052738336713997,5326826
0,2,1,0.018,0.18356997971602435,6419634
0,2,1,0.013,0.1815415821501014,7736635
0,2,1,0.016,0.17748478701825557,9323820
0,2,1,0.017,0.1845841784989858,11236619
0,2,1,0.03,0.18356997971602435,13541833
0,2,1,0.015,0.1845841784989858,16319966
0,2,1,0.014,0.1926977687626775,19668038
0,2,1,0.021,0.17849898580121704,23702974
0,2,1,0.015,0.16937119675456389,28565684
0,2,1,0.013,0.19168356997971603,34425988
0,2,1,0.015,0.17748478701825557,41488545
0,2,1,0.014,0.17849898580121704,49999999
1,2,1,0.006,0.46247464503042596,1
1,2,1,0.006,0.46247464503042596,2
1,2,1,0.006,0.46247464503042596,3
1,2,1,0.006,0.46247464503042596,4
1,2,1,0.006,0.46247464503042596,5
1,2,1,0.006,0.46247464503042596,6
1,2,1,0.006,0.4614604462474645,7
1,2,1,0.006,0.4614604462474645,9
1,2,1,0.006,0.45841784989858014,11
1,2,1,0.006,0.45841784989858014,13
1,2,1,0.006,0.45740365111561865,16
1,2,1,0.006,0.45740365111561865,19
1,2,1,0.006,0.45334685598377283,23
1,2,1,0.006,0.4513184584178499,28
1,2,1,0.006,0.4482758620689655,34
1,2,1,0.006,0.44726166328600403,41
1,2,1,0.006,0.4462474645030426,50
1,2,1,0.006,0.44523326572008115,60
1,2,1,0.008,0.44523326572008115,73
1,2,1,0.008,0.44523326572008115,88
1,2,1,0.008,0.4381338742393509,106
1,2,1,0.008,0.4300202839756592,127
1,2,1,0.009,0.43103448275862066,154
1,2,1,0.009,0.4259634888438134,185
1,2,1,0.009,0.422920892494929,223
1,2,1,0.009,0.4158215010141988,269
1,2,1,0.009,0.4056795131845842,325
1,2,1,0.009,0.3945233265720081,392
1,2,1,0.009,0.3793103448275862,472
