mc,F,q,s_max_den,n_density,iteration
1,2,1,0.261,0.005005005005005005,13587
1,2,1,0.264,0.005005005005005005,16374
1,2,1,0.269,0.001001001001001001,19733
1,2,1,0.27,0.0,23782
1,2,1,0.27,0.0,28661
1,2,1,0.27,0.0,34541
1,2,1,0.27,0.0,41627
1,2,1,0.27,0.0,50167
1,2,1,0.27,0.0,60459
1,2,1,0.27,0.0,72863
1,2,1,0.27,0.0,87811
1,2,1,0.27,0.0,105825
1,2,1,0.27,0.0,127535
1,2,1,0.27,0.0,153700
1,2,1,0.27,0.0,185232
1,2,1,0.27,0.0,223232
1,2,1,0.27,0.0,269029
1,2,1,0.27,0.0,324221
1,2,1,0.27,0.0,390736
1,2,1,0.27,0.0,470896
1,2,1,0.27,0.0,567501
1,2,1,0.27,0.0,683925
1,2,1,0.27,0.0,824234
1,2,1,0.27,0.0,993327
1,2,1,0.27,0.0,1197110
1,2,1,0.27,0.0,1442699
1,2,1,0.27,0.0,1738672
1,2,1,0.27,0.0,2095364
1,2,1,0.27,0.0,2525232
1,2,1,0.27,0.0,3043288
1,2,1,0.27,0.0,3667625
1,2,1,0.27,0.0,4420045
1,2,1,0.27,0.0,5326826
1,2,1,0.27,0.0,6419634
1,2,1,0.27,0.0,7736635
1,2,1,0.27,0.0,9323820
1,2,1,0.27,0.0,11236619
1,2,1,0.27,0.0,13541833
1,2,1,0.27,0.0,16319966
1,2,1,0.27,0.0,19668038
1,2,1,0.27,0.0,23702974
1,2,1,0.27,0.0,28565684
1,2,1,0.27,0.0,34425988
1,2,1,0.27,0.0,41488545
1,2,1,0.27,0.0,49999999
2,2,1,0.016,0.4214214214214214,1
2,2,1,0.016,0.4214214214214214,2
2,2,1,0.016,0.4214214214214214,3
2,2,1,0.016,0.4214214214214214,4
2,2,1,0.016,0.4214214214214214,5
2,2,1,0.016,0.42042042042042044,6
2,2,1,0.016,0.4194194194194194,7
2,2,1,0.016,0.4194194194194194,9
2,2,1,0.016,0.4194194194194194,11
2,2,1,0.016,0.4194194194194194,13
2,2,1,0.016,0.4194194194194194,16
2,2,1,0.016,0.4184184184184184,19
2,2,1,0.016,0.4164164164164164,23
2,2,1,0.016,0.41541541541541543,28
2,2,1,0.016,0.41541541541541543,34
2,2,1,0.016,0.4114114114114114,41
2,2,1,0.017,0.4094094094094094,50
2,2,1,0.018,0.4094094094094094,60
2,2,1,0.018,0.4094094094094094,73
2,2,1,0.018,0.4074074074074074,88
2,2,1,0.018,0.4024024024024024,106
2,2,1,0.02,0.3973973973973974,127
2,2,1,0.02,0.38738738738738737,154
2,2,1,0.022,0.3843843843843844,185
2,2,1,0.023,0.37737737737737737,223
2,2,1,0.024,0.36436436436436437,269
2,2,1,0.025,0.35535535535535534,325
2,2,1,0.026,0.34234234234234234,392
2,2,1,0.027,0.33433433433433435,472
2,2,1,0.029,0.3203203203203203,569
2,2,1,0.031,0.2982982982982983,686
2,2,1,0.034,0.27427427427427425,826
2,2,1,0.035,0.26926926926926925,996
2,2,1,0.041,0.24524524524524524,1201
2,2,1,0.044,0.2182182182182182,1447
2,2,1,0.055,0.2122122122122122,1744
2,2,1,0.061,0.1891891891891892,2102
2,2,1,0.07,0.1831831831831832,2533
2,2,1,0.074,0.16016016016016016,3053
2,2,1,0.088,0.12612612612612611,3679
2,2,1,0.116,0.10810810810810811,4434
2,2,1,0.149,0.08708708708708708,5344
2,2,1,0.175,0.062062062062062065,6441
2,2,1,0.191,0.04904904904904905,7762
2,2,1,0.204,0.03003003003003003,9355
2,2,1,0.215,0.014014014014014014,11274
2,2,1,0.22,0.004004004004004004,13587
2,2,1,0.223,0.003003003003003003,16374
2,2,1,0.224,0.002002002002002002,19733
2,2,1,0.226,0.0,23782
2,2,1,0.226,0.0,28661
2,2,1,0.226,0.0,34541
2,2,1,0.226,0.0,41627
2,2,1,0.226,0.0,50167
2,2,1,0.226,0.0,60459
2,2,1,0.226,0.0,72863
2,2,1,0.226,0.0,87811
2,2,1,0.226,0.0,105825
2,2,1,0.226,0.0,127535
2,2,1,0.226,0.0,153700
2,2,1,0.226,0.0,185232
2,2,1,0.226,0.0,223232
2,2,1,0.226,0.0,269029
2,2,1,0.226,0.0,324221
2,2,1,0.226,0.0,390736
2,2,1,0.226,0.0,470896
2,2,1,0.226,0.0,567501
2,2,1,0.226,0.0,683925
2,2,1,0.226,0.0,824234
2,2,1,0.226,0.0,993327
2,2,1,0.226,0.0,1197110
2,2,1,0.226,0.0,1442699
2,2,1,0.226,0.0,1738672
2,2,1,0.226,0.0,2095364
2,2,1,0.226,0.0,2525232
2,2,1,0.226,0.0,3043288
2,2,1,0.226,0.0,3667625
2,2,1,0.226,0.0,4420045
2,2,1,0.226,0.0,5326826
2,2,1,0.226,0.0,6419634
2,2,1,0.226,0.0,7736635
2,2,1,0.226,0.0,9323820
2,2,1,0.226,0.0,11236619
2,2,1,0.226,0.0,13541833
2,2,1,0.226,0.0,16319966
2,2,1,0.226,0.0,19668038
2,2,1,0.226,0.0,23702974
2,2,1,0.226,0.0,28565684
2,2,1,0.226,0.0,34425988
2,2,1,0.226,0.0,41488545
2,2,1,0.226,0.0,49999999
3,2,1,0.008,0.4244244244244244,1
3,2,1,0.008,0.4244244244244244,2
3,2,1,0.008,0.4244244244244244,3
3,2,1,0.008,0.4244244244244244,4
3,2,1,0.008,0.4244244244244244,5
3,2,1,0.008,0.42342342342342343,6
3,2,1,0.008,0.42342342342342343,7
3,2,1,0.008,0.42242242242242245,9
3,2,1,0.008,0.4214214214214214,11
3,2,1,0.008,0.42042042042042044,13
3,2,1,0.008,0.4184184184184184,16
3,2,1,0.008,0.4174174174174174,19
3,2,1,0.008,0.4174174174174174,23
3,2,1,0.008,0.41541541541541543,28
3,2,1,0.008,0.4134134134134134,34
3,2,1,0.008,0.4134134134134134,41
3,2,1,0.008,0.41041041041041043,50
3,2,1,0.008,0.4084084084084084,60
3,2,1,0.008,0.4084084084084084,73
