mc,L,F,q,s_max_den,n_density,iteration
0,50,2,10,0.0012,0.1593877551020408,206
0,50,2,10,0.0012,0.15836734693877552,263
0,50,2,10,0.0012,0.156734693877551,335
0,50,2,10,0.0012,0.15428571428571428,428
0,50,2,10,0.0012,0.1520408163265306,545
0,50,2,10,0.0012,0.15,695
0,50,2,10,0.0012,0.14653061224489797,885
0,50,2,10,0.0012,0.1430612244897959,1128
0,50,2,10,0.0012,0.13816326530612244,1438
0,50,2,10,0.0012,0.13326530612244897,1832
0,50,2,10,0.0012,0.1279591836734694,2335
0,50,2,10,0.0012,0.11959183673469388,2976
0,50,2,10,0.0016,0.11326530612244898,3792
0,50,2,10,0.0016,0.10857142857142857,4832
0,50,2,10,0.0016,0.09918367346938775,6158
0,50,2,10,0.0024,0.09061224489795919,7847
0,50,2,10,0.0028,0.07877551020408163,10000
0,50,2,10,0.0024,0.0663265306122449,12742
0,50,2,10,0.0028,0.05673469387755102,16237
0,50,2,10,0.0028,0.04775510204081632,20691
0,50,2,10,0.0032,0.03959183673469388,26366
0,50,2,10,0.0036,0.03571428571428571,33598
0,50,2,10,0.004,0.028979591836734694,42813
0,50,2,10,0.0052,0.02469387755102041,54555
0,50,2,10,0.0064,0.02142857142857143,69519
0,50,2,10,0.0064,0.022040816326530613,88586
0,50,2,10,0.0064,0.022040816326530613,112883
0,50,2,10,0.0072,0.022244897959183673,143844
0,50,2,10,0.0064,0.02387755102040816,183298
0,50,2,10,0.0064,0.02510204081632653,233572
0,50,2,10,0.0064,0.0236734693877551,297635
0,50,2,10,0.0064,0.022653061224489797,379269
0,50,2,10,0.0064,0.02122448979591837,483293
0,50,2,10,0.0064,0.02122448979591837,615848
0,50,2,10,0.0064,0.022857142857142857,784759
0,50,2,10,0.008,0.0236734693877551,1000000
0,50,2,10,0.0064,0.02326530612244898,1274274
0,50,2,10,0.0064,0.02387755102040816,1623776
0,50,2,10,0.0064,0.024285714285714285,2069138
0,50,2,10,0.0064,0.022653061224489797,2636650
0,50,2,10,0.0064,0.024285714285714285,3359818
0,50,2,10,0.0064,0.023061224489795917,4281332
0,50,2,10,0.0064,0.02469387755102041,5455594
0,50,2,10,0.0064,0.022448979591836733,6951927
0,50,2,10,0.0064,0.022040816326530613,8858667
0,50,2,10,0.0064,0.02489795918367347,11288378
0,50,2,10,0.008,0.022040816326530613,14384498
0,50,2,10,0.0064,0.022448979591836733,18329807
0,50,2,10,0.0072,0.021836734693877553,23357214
0,50,2,10,0.0064,0.02387755102040816,29763514
0,50,2,10,0.0064,0.02122448979591837,37926901
0,50,2,10,0.0064,0.023061224489795917,48329302
0,50,2,10,0.0064,0.022857142857142857,61584821
0,50,2,10,0.0068,0.022040816326530613,78475997
0,50,2,10,0.0076,0.023061224489795917,100000000
0,50,2,10,0.0064,0.022244897959183673,127427498
0,50,2,10,0.0064,0.02163265306122449,162377673
0,50,2,10,0.0064,0.022448979591836733,206913808
0,50,2,10,0.0064,0.024081632653061225,263665089
0,50,2,10,0.0064,0.02346938775510204,335981828
0,50,2,10,0.0068,0.022040816326530613,428133239
0,50,2,10,0.0064,0.022653061224489797,545559478
0,50,2,10,0.0064,0.02387755102040816,695192796
0,50,2,10,0.0068,0.0236734693877551,885866790
0,50,2,10,0.0064,0.020816326530612245,1128837891
0,50,2,10,0.0064,0.022244897959183673,1438449888
0,50,2,10,0.0064,0.022244897959183673,1832980710
0,50,2,10,0.0064,0.022448979591836733,2335721469
0,50,2,10,0.0064,0.022653061224489797,2976351441
0,50,2,10,0.0088,0.021020408163265305,3792690190
0,50,2,10,0.0064,0.024081632653061225,4832930238
0,50,2,10,0.0064,0.025918367346938774,6158482110
0,50,2,10,0.0064,0.022857142857142857,7847599703
0,50,2,100,0.0008,0.05612244897959184,1
0,50,2,100,0.0008,0.05612244897959184,2
0,50,2,100,0.0008,0.05612244897959184,3
0,50,2,100,0.0008,0.05612244897959184,4
0,50,2,100,0.0008,0.05612244897959184,5
0,50,2,100,0.0008,0.05612244897959184,6
0,50,2,100,0.0008,0.05612244897959184,8
0,50,2,100,0.0008,0.05612244897959184,11
0,50,2,100,0.0008,0.05612244897959184,14
0,50,2,100,0.0008,0.05612244897959184,18
0,50,2,100,0.0008,0.05612244897959184,23
0,50,2,100,0.0008,0.05612244897959184,29
0,50,2,100,0.0008,0.05612244897959184,37
0,50,2,100,0.0008,0.05612244897959184,48
0,50,2,100,0.0008,0.05612244897959184,61
0,50,2,100,0.0008,0.05612244897959184,78
0,50,2,100,0.0008,0.05591836734693877,100
0,50,2,100,0.0008,0.05551020408163265,127
0,50,2,100,0.0008,0.05551020408163265,162
0,50,2,100,0.0008,0.05551020408163265,206
0,50,2,100,0.0008,0.054693877551020405,263
0,50,2,100,0.0008,0.05408163265306123,335
0,50,2,100,0.0008,0.05326530612244898,428
0,50,2,100,0.0008,0.052653061224489796,545
0,50,2,100,0.0008,0.05204081632653061,695
0,50,2,100,0.0008,0.051224489795918364,885
0,50,2,100,0.0008,0.05040816326530612,1128
0,50,2,100,0.0008,0.04857142857142857,1438
0,50,2,100,0.0008,0.04693877551020408,1832
0,50,2,100,0.0012,0.04510204081632653,2335
0,50,2,100,0.0012,0.041020408163265305,2976
0,50,2,100,0.0012,0.03857142857142857,3792
0,50,2,100,0.0012,0.034489795918367344,4832
0,50,2,100,0.0012,0.02959183673469388,6158
0,50,2,100,0.0016,0.02489795918367347,7847
0,50,2,100,0.0016,0.018163265306122448,10000
0,50,2,100,0.0016,0.014489795918367347,12742
0,50,2,100,0.0016,0.012448979591836735,16237
0,50,2,100,0.002,0.008775510204081632,20691
0,50,2,100,0.002,0.007346938775510204,26366
0,50,2,100,0.002,0.004897959183673469,33598
0,50,2,100,0.002,0.0038775510204081634,42813
0,50,2,100,0.002,0.0032653061224489797,54555
0,50,2,100,0.002,0.0022448979591836735,69519
0,50,2,100,0.002,0.0024489795918367346,88586
0,50,2,100,0.002,0.0022448979591836735,112883
0,50,2,100,0.002,0.002653061224489796,143844
0,50,2,100,0.002,0.002653061224489796,183298
0,50,2,100,0.002,0.0022448979591836735,233572
0,50,2,100,0.002,0.002653061224489796,297635
0,50,2,100,0.002,0.0024489795918367346,379269
0,50,2,100,0.002,0.002857142857142857,483293
0,50,2,100,0.002,0.0024489795918367346,615848
0,50,2,100,0.002,0.0024489795918367346,784759
0,50,2,100,0.002,0.002857142857142857,1000000
0,50,2,100,0.002,0.0024489795918367346,1274274
0,50,2,100,0.002,0.0022448979591836735,1623776
0,50,2,100,0.002,0.0024489795918367346,2069138
0,50,2,100,0.002,0.0024489795918367346,2636650
0,50,2,100,0.002,0.0022448979591836735,3359818
0,50,2,100,0.002,0.002653061224489796,4281332
0,50,2,100,0.002,0.002653061224489796,5455594
0,50,2,100,0.002,0.002857142857142857,6951927
0,50,2,100,0.002,0.0022448979591836735,8858667
0,50,2,100,0.002,0.0024489795918367346,11288378
0,50,2,100,0.002,0.002653061224489796,14384498
0,50,2,100,0.002,0.0022448979591836735,18329807
0,50,2,100,0.002,0.0024489795918367346,23357214
0,50,2,100,0.002,0.0022448979591836735,29763514
0,50,2,100,0.002,0.0024489795918367346,37926901
0,50,2,100,0.002,0.002653061224489796,48329302
0,50,2,100,0.002,0.0022448979591836735,61584821
0,50,2,100,0.002,0.0022448979591836735,78475997
0,50,2,100,0.002,0.0022448979591836735,100000000
0,50,2,100,0.002,0.002857142857142857,127427498
0,50,2,100,0.002,0.0022448979591836735,162377673
0,50,2,100,0.002,0.002653061224489796,206913808
0,50,2,100,0.002,0.0024489795918367346,263665089
0,50,2,100,0.002,0.0022448979591836735,335981828
0,50,2,100,0.002,0.002653061224489796,428133239
0,50,2,100,0.002,0.0022448979591836735,545559478
0,50,2,100,0.002,0.002653061224489796,695192796
0,50,2,100,0.002,0.0022448979591836735,885866790
0,50,2,100,0.002,0.002653061224489796,1128837891
0,50,2,100,0.002,0.0024489795918367346,1438449888
0,50,2,100,0.002,0.0024489795918367346,1832980710
0,50,2,100,0.002,0.0022448979591836735,2335721469
0,50,2,100,0.002,0.0024489795918367346,2976351441
0,50,2,100,0.002,0.002653061224489796,3792690190
0,50,2,100,0.002,0.002653061224489796,4832930238
0,50,2,100,0.002,0.002653061224489796,6158482110
0,50,2,100,0.002,0.002857142857142857,7847599703
0,50,2,200,0.0008,0.03857142857142857,1
0,50,2,200,0.0008,0.03857142857142857,2
0,50,2,200,0.0008,0.03857142857142857,3
0,50,2,200,0.0008,0.03857142857142857,4
0,50,2,200,0.0008,0.03857142857142857,5
0,50,2,200,0.0008,0.03857142857142857,6
0,50,2,200,0.0008,0.03857142857142857,8
0,50,2,200,0.0008,0.03857142857142857,11
0,50,2,200,0.0008,0.03857142857142857,14
0,50,2,200,0.0008,0.03857142857142857,18
0,50,2,200,0.0008,0.03857142857142857,23
0,50,2,200,0.0008,0.03857142857142857,29
0,50,2,200,0.0008,0.03857142857142857,37
0,50,2,200,0.0008,0.03857142857142857,48
0,50,2,200,0.0008,0.03857142857142857,61
0,50,2,200,0.0008,0.03816326530612245,78
